,filename,time_cpu,time_gpu,time_cutn,time_ours,fidelity
32,XZ_honeycomb_PBC_J=1_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,,2253.326057846,940.2711324691772,918.0003199577332,0.6577189455496578
33,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=12_Lx=4_Ly=7.json,,,2538.650238752365,2581.9645800590515,0.0028950122452405
34,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=20_Lx=4_Ly=7.json,,,4082.000273227692,4035.5775063037872,0.0002716723369141
35,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=4_Lx=4_Ly=7.json,2456.778182977,2062.527506304,999.4378039836884,1000.1846151351928,0.0884187565867249
36,XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=10_Lx=4_Ly=7.json,1426.094364541,1318.652331999,622.5652022361755,564.5010857582092,0.9149332565445206
37,XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=12_Lx=4_Ly=7.json,1741.952416578,1520.395166178,748.7707209587097,690.9191644191742,0.8347130454897512
38,XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=18_Lx=4_Ly=7.json,,2151.159104148,1101.2579340934751,1036.8576695919037,0.5721617693203204
39,XZ_honeycomb_obc_J=1_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7.json,2186.042383199,1743.991005967,1033.3598101139069,1017.022845506668,8.939416293616607e-14
40,XZ_square_PBC_J=1_dt=0.1_n_trotter_steps=16_Lx=8_Ly=7.json,,,4389.728687763214,4480.337252855301,0.0683624107687505
41,XZ_square_PBC_J=1_dt=0.1_n_trotter_steps=2_Lx=8_Ly=7.json,1527.587774319,1405.060752164,595.0923426151276,587.6385543346405,0.920432850270688
42,XZ_square_PBC_J=1_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7.json,,,5873.758823156357,5712.235846042633,1.6838660005786894e-76
43,XZ_square_obc_J=1_dt=0.1_n_trotter_steps=12_Lx=8_Ly=7.json,,,1952.8111193180084,2007.2832653522487,0.366830992780432
44,XZ_square_obc_J=1_dt=0.3_n_trotter_steps=20_Lx=8_Ly=7.json,,,3487.6889910697937,3432.927086830139,9.088316454906298e-07
45,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=10_Lx=8_Ly=7.json,,3169.95561914,1767.7749438285828,1789.474496126175,1.5221230319611327e-24
46,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7.json,,,2490.785276889801,2429.4007596969604,3.534851611145437e-32
47,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=16_Lx=8_Ly=7.json,,,2849.3553273677826,2789.859813690185,4.9544394118038665e-36
