,circuit,n_qubits,depth,n_2q_gates,itensors_time,itensors_fidelity,quimb_time,quimb_fidelity,pytket-cutn_time,pytket-cutn_fidelity
310,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=6_Lx=4_Ly=7.json,56,39,1092,oom,oom,,,1338.4528188705444,0.04317262732817634
311,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7.json,56,80,1358,oom,oom,,,1112.778446674347,5.1347469348323544e-09
312,TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,1008,oom,oom,,,1237.8508803844452,0.11885447472616179
313,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=6_Lx=4_Ly=7.json,56,25,438,557.048877257,0.9843860039086826,,,132.91586780548096,0.9843896654951125
314,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=6_Lx=8_Ly=7.json,56,40,582,1891.35503915,0.37423093217555387,,,435.9584264755249,0.37500620575492677
315,TFIM_honeycomb_obc_Jz=1.0_hx=3.0_dt=0.5_n_trotter_steps=8_Lx=4_Ly=7.json,56,33,584,844.604506211,0.9999204474588186,,,190.9406054019928,0.9999204314057593
316,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.5_n_trotter_steps=2_Lx=4_Ly=7.json,56,9,168,927.832833415,5.70597108647851e-05,nan,nan,208.91415882110596,5.1972736232931665e-05
317,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=18_Lx=8_Ly=7.json,56,157,3589,oom,oom,,,3118.302696466446,8.580915287645942e-40
318,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.1_n_trotter_steps=2_Lx=8_Ly=7.json,56,33,224,881.211338245,0.997985967711935,2746.401738882065,nan,168.29009819030762,0.9979912779785902
319,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=14_Lx=8_Ly=7.json,56,225,1568,oom,oom,,,1872.3534178733826,0.00025205800265838316
320,XZ_honeycomb_PBC_J=1_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,56,27,756,oom,oom,12016.885435581207,nan,892.9021134376526,0.6578881912029444
321,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=18_Lx=8_Ly=7.json,56,289,2016,oom,oom,,,2399.692682981491,0.2726450837416892
322,XZ_square_PBC_J=1_dt=0.3_n_trotter_steps=4_Lx=8_Ly=7.json,56,135,1008,oom,oom,,,1162.006441116333,0.0038019288447787175
323,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1022,1151.631426019,0.9963288567784693,4228.409817695618,nan,318.2700226306915,0.9963261205542798
324,TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=10_Lx=4_Ly=7.json,56,41,840,oom,oom,,,1079.028974056244,0.0007106318140109942
325,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=12_Lx=8_Ly=7.json,56,193,1344,oom,oom,,,1621.4412984848022,0.0008241141348662132
326,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7.json,56,110,1940,oom,oom,,,1621.4486637115479,2.584246211358004e-10
327,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=14_Lx=8_Ly=7.json,56,225,1568,oom,oom,,,1887.8997099399567,0.06642643667499473
328,XZ_square_PBC_J=1_dt=0.3_n_trotter_steps=2_Lx=8_Ly=7.json,56,75,560,2434.022157295,0.15284847509641075,,,625.1338715553284,0.1535993083931641
329,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1022,1573.887405288,0.4335249075599333,,,390.18028497695923,0.4331879978894228
330,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=4_Lx=8_Ly=7.json,56,65,448,2062.555640634,0.14300830093701222,,,498.6755030155182,0.14378180855160222
331,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1176,oom,oom,,,1383.5456857681274,0.42439445547103005
332,XZ_square_obc_J=1_dt=0.1_n_trotter_steps=10_Lx=8_Ly=7.json,56,93,2037,oom,oom,,,1630.2960169315338,0.46565677136789946
333,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7.json,56,80,1358,oom,oom,,,1118.0344579219818,1.996752189796576e-12
334,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7.json,56,225,1568,oom,oom,,,1889.6136620044708,7.955828658446326e-21
335,XZ_square_obc_J=1_dt=0.3_n_trotter_steps=18_Lx=8_Ly=7.json,56,157,3589,oom,oom,,,3056.29896068573,3.6268657658546407e-06
336,TFIM_honeycomb_obc_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=8_Lx=4_Ly=7.json,56,33,584,688.968239081,0.9999467129457832,,,166.54953527450562,0.9999466667628395
337,XZ_honeycomb_PBC_J=1_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7.json,56,87,2436,oom,oom,,,2799.133857011795,0.1744668205604905
338,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=16_Lx=8_Ly=7.json,56,90,1552,oom,oom,,,1266.9075260162354,5.686624778468677e-12
339,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.1_n_trotter_steps=12_Lx=8_Ly=7.json,56,70,1164,oom,oom,,,901.9183132648468,0.5794716884484766
340,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=20_Lx=4_Ly=7.json,56,81,1680,oom,oom,,,1883.7675607204437,0.9999984738901365
341,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=6_Lx=8_Ly=7.json,56,97,672,oom,oom,,,781.4512760639191,2.895482043844133e-12
342,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.1_n_trotter_steps=18_Lx=8_Ly=7.json,56,289,2016,oom,oom,,,2344.6626505851746,0.1197786134766584
343,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,292,286.653691466,0.7714858341689801,,,78.21297597885132,0.771047249749981
344,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=10_Lx=8_Ly=7.json,56,60,970,oom,oom,,,766.3710508346558,0.10543450220030633
345,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=2_Lx=4_Ly=7.json,56,9,168,934.495055378,0.137233072770133,,,204.41349506378174,0.13784484438096184
346,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,1008,oom,oom,,,1264.8350629806519,9.83822418091085e-10
347,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=18_Lx=4_Ly=7.json,56,73,1512,oom,oom,,,1789.5052556991577,0.23205052103403254
348,XZ_square_PBC_J=1_dt=0.3_n_trotter_steps=12_Lx=8_Ly=7.json,56,375,2800,oom,oom,,,3469.59463262558,1.9375715934371954e-09
349,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.3_n_trotter_steps=14_Lx=8_Ly=7.json,56,80,1358,oom,oom,,,1134.4459626674652,1.6512280427967397e-13
350,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=10_Lx=8_Ly=7.json,56,161,1120,oom,oom,,,1319.8565261363983,7.084791833939075e-16
351,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7.json,56,257,1792,oom,oom,,,2217.0691702365875,1.5060132515744326e-19
352,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=6_Lx=8_Ly=7.json,56,40,582,1851.652723399,0.9670333606505371,,,404.52254605293274,0.9669671862505459
353,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=14_Lx=8_Ly=7.json,56,80,1358,oom,oom,,,1119.308883190155,0.0341395234112978
354,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7.json,56,321,2240,oom,oom,,,2732.9069697856903,4.453540579364333e-33
355,XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7.json,56,87,2117,oom,oom,,,788.1753389835358,0.7522514185215577
